Citywide Months Longterm Months,Citywide Months Longterm Total New Dwellings,Citywide Months Longterm New Houses,Citywide Months Longterm New Units,Citywide Months Longterm New Apartments,Citywide Months Longterm Retirement Village Units,Citywide Months Longterm Total Construction Value,Citywide Months Longterm Residential Buildings,Citywide Months Longterm NonResidential Construction
Dec '08,22,15,7,0,0,40634977,21376054,19258923
Jan '09,14,13,1,0,0,136392590,25041499,111351091
Feb '09,164,16,11,137,0,33930327,24170329,9759998
March '09,16,9,6,1,0,30562569,16977653,13584916
April '09,24,17,7,0,0,63461249,12874935,50586314
May '09,26,20,3,0,3,62999516,14130752,48868764
June '09,66,20,3,43,0,29098480,18941880,10156600
July '09,39,31,6,2,0,35486589,18507589,16979000
Aug '09,34,17,2,15,0,68762879,12207731,56555148
Sept '09,22,17,4,1,0,28088637,13770145,14318492
Oct '09,38,16,7,15,0,26199189,13346798,12852391
Nov '09,38,21,14,3,0,59203977,32704542,26499435
Dec '09,69,25,6,38,0,51423328,18735728,32687600
Jan '10,26,17,9,0,0,17826560,12531960,5294600
Feb '10,44,30,14,0,0,30526112,17128814,13397298
March '10,56,43,13,0,0,61590425,25889175,35701250
April '10,45,20,25,0,0,21458803,15912843,5545960
May '10,57,29,15,10,3,55723061,21460786,34262275
June '10,62,22,5,35,0,47110367,36808578,10301789
July '10,20,18,2,0,0,24474456,9803241,14671215
Aug '10,60,28,6,26,0,51439866,36419236,15020630
Sept '10,31,21,9,1,0,42637647,16747647,25890000
Oct '10,23,12,10,1,0,28162828,11925898,16236930
Nov '10,66,23,6,37,0,109420146,42916928,66503218
Dec '10,72,12,5,55,0,36338065,14015025,22323040
Jan '11,15,10,1,4,0,18556326,11762600,6793726
Feb '11,41,17,22,2,0,45225310,20024310,25201000
March '11,54,24,2,28,0,65379624,28065314,37314310
April '11,29,18,10,1,0,46973791,22609514,24364277
May '11,24,13,10,1,0,45305588,14200940,31104648
June '11,20,17,3,0,0,31215366,11550984,19664382
July '11,42,29,13,0,0,36607878,18718453,17889425
Aug '11,22,19,3,0,0,50099995,13932495,36167500
Sept '11,22,10,8,4,0,29071379,11300209,17771170
Oct '11,35,20,15,0,0,59006123,16145223,42860900
Nov '11,31,22,6,3,0,34294714,20051494,14243220
Dec '11,140,21,12,107,0,70090348,53549498,16540850
Jan '12,18,18,0,0,0,18097470,11552020,6545450
Feb '12,33,27,5,1,0,25135217,16464217,8671000
March '12,63,20,2,41,0,42482724,21446684,21036040
April '12,20,10,9,1,0,25543086,9486754,16056332
May '12,24,20,4,0,0,34437928,13540715,20897213
June '12,98,21,1,76,0,24786676,19909481,4877195
July '12,56,17,21,18,0,27832645,18379338,9453307
Aug '12,33,25,5,3,0,45219647,17323572,27896075
Sept '12,39,17,9,13,0,74763179,59072794,15690385
Oct '12,17,16,1,0,0,38152327,14118354,24033973
Nov '12,35,18,14,3,0,51761429,25280411,26481018
Dec '12,65,16,5,44,0,46157727,22163320,23994407
Jan '13,24,17,6,1,0,45404487,34316597,11087890
Feb '13,23,16,7,0,0,26539128,16421592,10117536
March '13,23,19,3,1,0,51107017,16850357,34256660
April '13,115,22,11,82,0,71460715,55058215,16402500
May '13,33,15,18,0,0,65773962,29058127,36715835
June '13,18,18,0,0,0,38133524,11618524,26515000
July '13,31,19,7,4,1,27772593,15186593,12586000
Aug '13,31,24,2,5,0,44430495,29902230,14528265
Sept '13,52,31,21,0,0,43845944,20260302,23585642
Oct '13,96,29,21,45,1,55684624,30358324,25326300
Nov '13,148,22,15,111,0,40214247,27928947,12285300
Dec '13,29,22,5,2,0,30434507,13606193,16828314
Jan '14,61,21,6,0,34,63104487,23525447,39579040
Feb '14,44,20,15,9,0,90120035,35682996,54437039
March '14,24,21,3,0,0,50614800,14834678,35780122
April '14,69,27,2,40,0,30987383,17237313,13750070
May '14,29,20,4,5,0,25405436,15667290,9738146
June '14,34,26,8,0,0,27776449,16657449,11119000
July '14,40,20,20,0,0,50966867,18831683,32135184
Aug '14,31,13,15,3,0,33068192,17346297,15721895
Sept '14,81,18,7,56,0,64263379,22118575,42144804
Oct '14,45,28,17,0,0,37073379,21980809,15092570
Nov '14,12,10,2,0,0,65019983,9558895,55461088
Dec '14,74,17,23,34,0,52302435,23372688,28929747
Jan '15,76,16,36,24,0,34918810,22804651,12114159
Feb '15,48,34,8,6,0,41650844,24703494,16947350
March '15,40,30,10,0,0,61948459,25404911,36543548
April '15,25,17,8,0,0,43897624,23343138,20554486
May '15,40,35,5,0,0,56718668,20322274,36396394
June '15,36,24,12,0,0,32411369,16477369,15934000
July '15,29,26,2,1,0,38255090,16208590,22046500
Aug '15,64,13,51,0,0,41857751,24744348,17113403
Sept '15,24,20,4,0,0,113731728,13360128,100371600
Oct '15,69,20,17,32,0,48467685,20211189,28256496
Nov '15,148,20,29,99,0,37343057,19342564,18000493
Dec '15,41,24,14,3,0,76987900,20265090,56722810
Jan '16,58,14,6,4,34,69260742,26070013,43190729
Feb '16,39,27,12,0,0,32156988,15719607,16437381
March '16,32,21,0,11,0,39048761,17430561,21618200
April '16,28,23,5,0,0,28848158,17459875,11388283
May '16,31,24,4,3,0,50163803,25607523,24556280
June '16,51,22,17,12,0,54183834,18476199,35707635
