KilometresDriveToCBD,Suburb,TotalDwellings2004,TotalDwellings2005,TotalDwellings2006,TotalDwellings2007,TotalDwellings2008,TotalDwellings2009,TotalDwellings2010,TotalDwellings2011,TotalDwellings2012,TotalDwellings2013,TotalDwellings2014,TotalDwellings2015,TotalDwellings2016,Houses2004,Houses2005,Houses2006,Houses2007,Houses2008,Houses2009,Houses2010,Houses2011,Houses2012,Houses2013,Houses2014,Houses2015,Houses2016,Units2004,Units2005,Units2006,Units2007,Units2008,Units2009,Units2010,Units2011,Units2012,Units2013,Units2014,Units2015,Units2016,Apartments2004,Apartments2005,Apartments2006,Apartments2007,Apartments2008,Apartments2009,Apartments2010,Apartments2011,Apartments2012,Apartments2013,Apartments2014,Apartments2015,Apartments2016,Retirement Village Units2004,Retirement Village Units2005,Retirement Village Units2006,Retirement Village Units2007,Retirement Village Units2008,Retirement Village Units2009,Retirement Village Units2010,Retirement Village Units2011,Retirement Village Units2012,Retirement Village Units2013,Retirement Village Units2014,Retirement Village Units2015,Retirement Village Units2016,ConstructionValue2004,ConstructionValue2005,ConstructionValue2006,ConstructionValue2007,ConstructionValue2008,ConstructionValue2009,ConstructionValue2010,ConstructionValue2011,ConstructionValue2012,ConstructionValue2013,ConstructionValue2014,ConstructionValue2015,ConstructionValue2016
,Ngauranga,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771812,5275385,5437250,4088000,3656044,3522570,2510000,160700,1290800,866000,1005495,535000,8862962
,Karori,37,16,19,97,20,16,22,16,11,15,8,17,13,10,8,14,9,9,12,15,12,7,14,4,13,6,13,8,5,88,11,4,7,4,3,1,4,4,7,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13315571,13190461,15814532,22638297,17825349,17685758,23655527,12495552,16284928,11594813,9886783,18372287,17748975
,Khandallah,34,30,44,35,18,13,20,18,10,14,16,19,21,25,27,21,19,13,8,12,16,10,9,8,8,12,9,3,23,16,5,5,8,2,0,5,8,11,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13331558,23159522,19452240,18189275,13458318,11647669,13205708,19815094,10836246,14005036,12640340,12806416,20861808
8km,Seatoun,13,13,7,11,5,7,17,6,9,11,3,15,7,12,12,6,4,4,5,12,5,9,9,3,12,6,1,1,0,7,1,2,5,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9978120,7548369,10409200,8792600,8619500,6780350,13826400,6693500,7490840,11184750,5629000,11608300,7883549
,Moa Point,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112000,175000,0,68000,170000,47000,0,0,12000,0,275000,0,0
,Strathmore Park,11,5,7,4,7,2,6,4,2,5,2,7,3,9,3,7,2,6,2,4,3,2,5,1,3,3,1,2,0,2,1,0,2,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4431450,4883313,4607792,2619200,5392000,2440460,8940500,5973000,1899000,5171670,1877100,4594000,5623350
,Maupuia,1,6,0,5,0,0,2,1,3,0,1,1,1,0,2,0,0,0,0,2,1,3,0,1,1,0,1,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841987,1097730,274000,2402500,420000,316500,983500,462000,2192700,345000,1367900,722000,1234500
9km,Karaka Bays,0,3,4,1,1,2,3,0,0,0,3,1,2,0,1,2,1,1,2,2,0,0,0,3,1,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767000,1717000,3706850,2846775,820000,4172000,2255000,1199400,908000,471000,2203000,1309040,999800
,Broadmeadows,3,9,8,9,4,0,2,2,1,0,2,4,2,1,2,2,7,1,0,2,0,1,0,2,2,2,2,7,6,2,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774900,1224500,1571630,2165600,1404900,261000,745200,524800,509000,177780,1126350,1784680,813000
,Breaker Bay,0,1,0,0,0,1,1,2,0,0,2,1,2,0,1,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,655000,395000,34000,382000,954000,294764,985000,45000,22500,851500,430000,1240000
10km,Johnsonville,53,59,90,44,38,33,31,44,59,55,43,43,26,35,27,37,36,29,24,14,35,30,31,17,26,13,18,32,17,8,9,9,17,9,3,19,26,17,13,0,0,0,0,0,0,0,0,26,5,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,12130648,13166613,24279686,13279050,12866608,12239855,15086609,13590550,18023836,22167078,16403648,15662817,15607881
